field_1,field_2,field_3,field_4
ICALGA1,1127.1504,51.09,-114.24
ICALGA4,1114.044,51.09,-114.09
ICALGA5,1061.9232,51.08,-114.06
ICALGA9,0,51.05,-114.1
ICALGA14,1050.036,51.06,-114.07
ICALGA22,1089.0504,51.07,-114
ICALGA25,1139.0376,51.02,-114.15
ICALGA26,1178.9664,51.12,-114.22
ICALGA30,1047.9024,51.05,-114.04
ICALGA33,1171.956,51.12,-114.22
ICALGA35,1257.9096,51.15,-114.25
ICALGA37,1127.76,51.11,-114.15
ICALGA38,1232.916,51.05,-114.21
ICALGA39,1249.9848,51.14,-114.16
ICALGA42,1122.8832,51.14,-114.1
ICALGA43,1050.9504,51.06,-114.09
ICALGA45,1120.14,51.03,-114.13
ICALGA48,1093.0128,51.07,-114.1
ICALGA49,1096.9752,51.07,-114.1
ICALGA51,1150.0104,51.05,-114.16
ICALGA54,1157.0208,51.12,-114.26
ICALGA55,1050.036,51.06,-114.09
ICALGA56,1053.084,51.05,-114.1
ICALGA60,1081.1256,51.08,-114.07
ICALGA70,1114.044,51.15,-114.09
ICALGA75,1125.0168,51.02,-114.13
ICALGA76,376.428,51.07,-114.21
ICALGA77,1125.0168,51.02,-114.13
ICALGA78,325.5264,51.1,-114.2
ICALGA85,337.7184,51.09,-114.16
ICALGA86,1092.4032,51.07,-114.08
ICALGA87,1213.7136,51.13,-114.15
ICALGA89,337.7184,51.09,-114.16
ICALGA90,1122.8832,51.16,-114.13
ICALGA95,1079.9064,51.07,-114.06
ICALGA98,1107.3384,51.09,-114.13
ICALGA99,1216.7616,51.13,-114.17
ICALGA109,1234.1352,51.06,-114.21
ICALGA130,1146.048,51.11,-114.16
ICALGA138,347.7768,51.11,-114.19
ICALGA140,1071.9816,51.15,-114.05
ICALGA142,1125.0168,51.11,-114.08
ICALGA145,1051.8648,51.05,-114.1
ICALGA152,1144.8288,51.05,-114.16
ICALGA153,1214.0184,51.14,-114.25
ICALGA154,1154.8872,51.14,-114.12
ICALGA159,1200.912,51.13,-114.19
ICALGA161,373.0752,51.14,-114.2
ICALGA163,328.5744,51.07,-114.05
ICALGA164,1241.1456,51.13,-114.17
ICALGA166,1253.9472,51.15,-114.19
ICALGA167,1066.8,51.08,-114.18
ICALGA172,1051.8648,51.06,-114.15
ICALGA173,338.328,51.09,-114.14
ICALGA174,1107.0336,51.09,-114.15
ICALGA177,1099.1088,51.17,-114.06
ICALGA178,1125.0168,51.11,-114.08
ICALGA180,1125.9312,51.03,-114.14
ICALGA181,375.2088,51.06,-114.2
ICALGA182,360.2736,51.14,-114.13
ICALGA183,1086.0024,51.13,-114.06
ICALGA185,343.5096,51.05,-114.14
ICALGA187,354.7872,51.08,-114.22
ICALGA188,1232.916,51.13,-114.15
ICALGA190,1079.9064,51.16,-114.05
ICALGA191,1103.0712,51.13,-114.07
ICALGA196,376.428,51.07,-114.21
ICALGA197,1082.9544,51.08,-114.07
ICALGA200,1127.76,51.04,-114.14
ICALGA201,1147.8768,51.11,-114.15
ICALGA204,321.8688,51.03,-114.07
ICALGA209,363.9312,51.13,-114.25
ICALGA212,1079.9064,51.06,-114.05
ICALGA219,1042.1112,51.05,-114.05
ICALGA225,1117.092,51.12,-114.08
ICALGA229,1057.0464,51.04,-114.09
ICALGA231,320.6496,51.05,-114.1
ICALGA235,327.0504,51.1,-114.21
ICALGA237,326.7456,51.08,-114.08
ICALGA239,1181.1,51.16,-114.15
ICALGA242,1086.0024,51.06,-114.12
ICALGA248,1107.948,51.09,-114.16
ICALGA249,1061.0088,51.06,-114.14
ICALGA250,1101.852,51.07,-114.14
ICALGA254,318.2112,51.04,-114.05
ICALGA256,1133.856,51.05,-114.15
ICALGA258,333.756,51.18,-114.13
ICALGA260,1168.908,51.12,-114.22
ICALGA265,387.096,51.15,-114.24
ICALGA269,318.2112,51.04,-114.05
ICALGA272,1083.8688,51.08,-114.1
ICALGA273,1079.9064,51.06,-114.05
ICALGA274,330.0984,51.08,-114.07
ICALGA275,1118.9208,51.03,-114.13
ICALGA276,1238.0976,51.13,-114.16
IALBERTA1,1134.7704,51.25,-113.98
IALBERTA3,nan(snan),51.04,-114.18
IALBERTA6,nan(snan),51.19,-114.47
IALBERTA10,1099.1088,51.15,-114.1
IALBERTA19,nan(snan),51.1,-114
IALBERTA22,1133.856,51.19,-114.51
IALBERTA36,1285.9512,51.15,-114.23
IALBERTA53,nan(snan),51.04,-114.08
IALBERTA56,914.4,51.22,-114.02
IALBERTA68,1049.1216,51.06,-114.1
IALBERTA90,1252.728,51.13,-114.17
IALBERTA96,1095.1464,51.13,-113.96
IALBERTA108,1188.1104,51.13,-114.24
IALBERTA109,1076.8584,51.09,-114.2
IALBERTA110,1076.8584,51.09,-114.2
IALBERTA119,1107.948,51.28,-113.98
IALBERTA121,1249.68,51.21,-114.47
IALBERTA127,1216.152,51.26,-114.25
IALBERTA134,1084.1736,51.11,-113.97
IALBERTA137,1074.1152,51.08,-114.06
IALBERTA139,1268.8824,51.21,-114.29
IALBERTA146,1150.0104,51.18,-114.5
IALBERTA148,1118.0064,51.16,-114.09
IALBERTA151,1232.916,51.07,-114.19
IALBERTA159,1271.016,51.15,-114.23
IALBERTA164,1133.856,51.18,-114.15
IALBERTA175,1217.0664,51.1,-114.1
IALBERTA179,1078.992,51.26,-114
IALBERTA180,1071.9816,51.08,-114.03
IALBERTA222,1331.976,51.2,-114.45
IALBERTA232,1185.9768,51.12,-114.23
IALBERTA234,1136.904,51.19,-114.51
IALBERTA235,1096.0608,51.12,-114.07
IALBERTA243,1128.9792,51.16,-114.14
