Date,Parameter ,Value,Approval Name,Grade Name
2021-05-20 0:00,6,152,PRELIMINARY,UNSPECIFIED
2021-05-21 0:00,6,124,PRELIMINARY,UNSPECIFIED
2021-05-22 0:00,6,116,PRELIMINARY,UNSPECIFIED
2021-05-23 0:00,6,123,PRELIMINARY,UNSPECIFIED
2021-05-24 0:00,6,115,PRELIMINARY,UNSPECIFIED
2021-05-25 0:00,6,123,PRELIMINARY,UNSPECIFIED
2021-05-26 0:00,6,140,PRELIMINARY,UNSPECIFIED
2021-05-27 0:00,6,155,PRELIMINARY,UNSPECIFIED
2021-05-28 0:00,6,161,PRELIMINARY,UNSPECIFIED
2021-05-29 0:00,6,157,PRELIMINARY,UNSPECIFIED
2021-05-30 0:00,6,153,PRELIMINARY,UNSPECIFIED
2021-05-31 0:00,6,148,PRELIMINARY,UNSPECIFIED
2021-06-01 0:00,6,146,PRELIMINARY,UNSPECIFIED
2021-06-02 0:00,6,179,PRELIMINARY,UNSPECIFIED
2021-06-03 0:00,6,235,PRELIMINARY,UNSPECIFIED
2021-06-04 0:00,6,297,PRELIMINARY,UNSPECIFIED
2021-06-05 0:00,6,338,PRELIMINARY,UNSPECIFIED
2021-06-06 0:00,6,334,PRELIMINARY,UNSPECIFIED
2021-06-07 0:00,6,304,PRELIMINARY,UNSPECIFIED
2021-05-20 0:00,47,126,APPROVED,UNSPECIFIED
2021-05-20 0:05,47,126,APPROVED,UNSPECIFIED
2021-05-20 0:10,47,126,APPROVED,UNSPECIFIED
2021-05-20 0:15,47,126,APPROVED,UNSPECIFIED
2021-05-20 0:20,47,126,APPROVED,UNSPECIFIED
2021-05-20 0:25,47,126,APPROVED,UNSPECIFIED
2021-05-20 0:30,47,126,APPROVED,UNSPECIFIED
2021-05-20 0:35,47,126,APPROVED,UNSPECIFIED
2021-05-20 0:40,47,126,APPROVED,UNSPECIFIED
2021-05-20 0:45,47,126,APPROVED,UNSPECIFIED
2021-05-20 0:50,47,125,APPROVED,UNSPECIFIED
2021-05-20 0:55,47,125,APPROVED,UNSPECIFIED
2021-05-20 1:00,47,126,APPROVED,UNSPECIFIED
2021-05-20 1:05,47,126,APPROVED,UNSPECIFIED
2021-05-20 1:10,47,126,APPROVED,UNSPECIFIED
2021-05-20 1:15,47,126,APPROVED,UNSPECIFIED
2021-05-20 1:20,47,127,APPROVED,UNSPECIFIED
2021-05-20 1:25,47,128,APPROVED,UNSPECIFIED
2021-05-20 1:30,47,129,APPROVED,UNSPECIFIED
2021-05-20 1:35,47,130,APPROVED,UNSPECIFIED
2021-05-20 1:40,47,131,APPROVED,UNSPECIFIED
2021-05-20 1:45,47,133,APPROVED,UNSPECIFIED
2021-05-20 1:50,47,134,APPROVED,UNSPECIFIED
2021-05-20 1:55,47,135,APPROVED,UNSPECIFIED
2021-05-20 2:00,47,136,APPROVED,UNSPECIFIED
2021-05-20 2:05,47,136,APPROVED,UNSPECIFIED
2021-05-20 2:10,47,137,APPROVED,UNSPECIFIED
2021-05-20 2:15,47,137,APPROVED,UNSPECIFIED
2021-05-20 2:20,47,137,APPROVED,UNSPECIFIED
2021-05-20 2:25,47,138,APPROVED,UNSPECIFIED
2021-05-20 2:30,47,138,APPROVED,UNSPECIFIED
2021-05-20 2:35,47,139,APPROVED,UNSPECIFIED
2021-05-20 2:40,47,139,APPROVED,UNSPECIFIED
2021-05-20 2:45,47,139,APPROVED,UNSPECIFIED
2021-05-20 2:50,47,140,APPROVED,UNSPECIFIED
2021-05-20 2:55,47,140,APPROVED,UNSPECIFIED
2021-05-20 3:00,47,141,APPROVED,UNSPECIFIED
2021-05-20 3:05,47,141,APPROVED,UNSPECIFIED
2021-05-20 3:10,47,142,APPROVED,UNSPECIFIED
2021-05-20 3:15,47,142,APPROVED,UNSPECIFIED
2021-05-20 3:20,47,143,APPROVED,UNSPECIFIED
2021-05-20 3:25,47,143,APPROVED,UNSPECIFIED
2021-05-20 3:30,47,143,APPROVED,UNSPECIFIED
2021-05-20 3:35,47,144,APPROVED,UNSPECIFIED
2021-05-20 3:40,47,144,APPROVED,UNSPECIFIED
2021-05-20 3:45,47,145,APPROVED,UNSPECIFIED
2021-05-20 3:50,47,146,APPROVED,UNSPECIFIED
2021-05-20 3:55,47,146,APPROVED,UNSPECIFIED
2021-05-20 4:00,47,146,APPROVED,UNSPECIFIED
2021-05-20 4:05,47,147,APPROVED,UNSPECIFIED
2021-05-20 4:10,47,147,APPROVED,UNSPECIFIED
2021-05-20 4:15,47,148,APPROVED,UNSPECIFIED
2021-05-20 4:20,47,148,APPROVED,UNSPECIFIED
2021-05-20 4:25,47,149,APPROVED,UNSPECIFIED
2021-05-20 4:30,47,150,APPROVED,UNSPECIFIED
2021-05-20 4:35,47,150,APPROVED,UNSPECIFIED
2021-05-20 4:40,47,151,APPROVED,UNSPECIFIED
2021-05-20 4:45,47,152,APPROVED,UNSPECIFIED
2021-05-20 4:50,47,153,APPROVED,UNSPECIFIED
2021-05-20 4:55,47,153,APPROVED,UNSPECIFIED
2021-05-20 5:00,47,154,APPROVED,UNSPECIFIED
2021-05-20 5:05,47,155,APPROVED,UNSPECIFIED
2021-05-20 5:10,47,155,APPROVED,UNSPECIFIED
2021-05-20 5:15,47,155,APPROVED,UNSPECIFIED
